Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
122.6654,129.1602,91.24478,5323.663,237.662,5.837,21.924,40.36354,124.96 yds,63.14505,14.34971,2.556134,121.3094,121.5617,I9,67.27374,6.736,-6.838,0,6.736,0,0,0,0,0,0,1.356321
96.74368,117.341,87.30553,3096.969,-1514.005,1.667,13.233,21.96038,135.86 yds,23.63553,-7.680714,-26.05247,97.0216,96.93023,I8,65.49313,5.458,-6.445,0,5.458,0,0,0,0,0,0,1.333049
139.7189,148.0578,99.32461,4182.18,-261.754,5.724,18.423,36.89938,105.24 yds,61.10365,10.53093,-3.581353,138.283,139.241,I8,69.41672,6.5,-4.758,0,6.5,0,0,0,0,0,0,1.430846
123.5349,137.7508,95.96025,3894.33,-775.074,-0.443,13.686,26.91923,115.35 yds,36.66712,-8.71626,-11.25628,123.0854,122.3392,I8,66.87332,5.768,-4.255,0,5.768,0,0,0,0,0,0,1.434956
106.7901,128.9027,98.8884,3281.793,-2066.73,-0.9,9.494,17.63576,127.38 yds,19.89985,-17.01266,-32.20093,107.1163,106.3036,I8,69.155,9.184,-5.258,0,9.184,0,0,0,0,0,0,1.429953
118.6602,139.591,98.57524,3029.012,-1889.322,-0.876,12.85,23.16895,118 yds,30.48206,-20.21629,-31.95352,118.3927,118.5138,I8,70.88639,7.129,-5.117,0,7.129,0,0,0,0,0,0,1.390609
106.5559,129.4045,98.93092,3090.147,-1656.642,2.567,9.024,15.80902,123.98 yds,18.69127,-8.36791,-28.19596,107.2174,106.3856,I7,68.24009,8.702,-5.219,0,8.702,0,0,0,0,0,0,1.449748
139.9438,167.4021,105.6865,3365.327,-966.34,6.301,11.646,25.62144,84.88 yds,36.94473,2.317935,-16.02121,139.4654,139.93,I7,71.93999,8.817,-5.687,0,8.817,0,0,0,0,0,0,1.469092
114.9226,142.9891,101.4363,3033.493,-664.668,1.289,8.143,15.64141,109.57 yds,19.04482,-3.980799,-12.35876,115.7645,115.2297,I7,70.65823,6.785,-5.395,0,6.785,0,0,0,0,0,0,1.435591
66.3518,90.48068,89.70801,1085.992,-2265.967,-0.969,10.171,12.29602,163.92 yds,10.19095,-9.793464,-64.39337,66.3801,67.09427,I7,68.74341,7.384,-4.656,0,7.384,0,0,0,0,0,0,1.304969
128.6295,141.5806,97.55296,3872.713,5.035,7.336,13.725,28.36419,113.32 yds,39.18272,16.41772,0.07449147,128.1461,128.2666,I7,65.46852,7.298,-6.619,0,7.298,0,0,0,0,0,0,1.490074
87.01431,112.4676,88.88034,1705.054,-1254.548,1.566,11.695,15.78791,140.76 yds,16.62916,-7.008928,-36.34496,87.3978,88.15836,I7,70.24439,7.211,-5.456,0,7.211,0,0,0,0,0,0,1.265302
145.7214,156.5815,103.7291,3350.572,397.117,7.585,14.807,31.67661,101.82 yds,49.42398,25.09923,6.759286,144.8213,145.7699,I7,70.64033,8.305,-5.974,0,8.305,0,0,0,0,0,0,1.468413
68.76129,105.9347,85.68152,1082.38,-943.85,2.766,10.311,11.69518,146.58 yds,10.61804,-2.158602,-41.08887,69.32375,71.11767,I7,66.89122,7.818,-4.071,0,7.818,0,0,0,0,0,0,1.280908
119.704,140.7253,99.19934,3734.25,649.584,7.87,9.814,20.69328,117.36 yds,25.42054,22.55371,9.868029,120.0002,119.1207,I7,70.4994,8.987,-5.727,0,8.987,0,0,0,0,0,0,1.407095
111.4861,134.1131,100.8457,3368.642,301.372,5.524,7.239,14.52299,120.29 yds,16.90344,13.49922,5.112296,112.6047,111.332,I6,70.44572,6.841,-3.4,0,6.841,0,0,0,0,0,0,1.431538
133.4322,161.101,106.7378,2170.396,-884.56,1.526,10.763,19.88634,92.87 yds,28.02098,-10.1472,-22.17369,133.9424,135.5446,I6,71.07206,6.416,-4.938,0,6.416,0,0,0,0,0,0,1.501825
78.44239,114.236,102.5458,2426.178,-1164.226,-1.686,4.317,6.120214,139.44 yds,5.822618,-8.193349,-25.63449,80.36943,79.33071,I6,70.75889,7.218,-5.412,0,7.218,0,0,0,0,0,0,1.449229
76.21588,135.8091,102.2259,2167.053,-828.691,1.98,4.304,6.331107,116.67 yds,5.468962,-1.602238,-20.92708,78.45464,77.60499,I6,70.78573,9.951,-5.188,0,9.951,0,0,0,0,0,0,1.44416
121.2179,146.751,107.7556,2321.52,-1124.665,2.164,8.244,15.19177,106.78 yds,19.27903,-8.833809,-25.84796,122.082,122.2211,I6,72.15697,6.373,-4.712,0,6.373,0,0,0,0,0,0,1.49335
